date,rate
2022-01-01,3.3159
2022-01-03,3.2684
2022-01-04,3.2593
2022-01-05,3.2512
2022-01-06,3.2810
2022-01-07,3.2666
2022-01-10,3.2881
2022-01-11,3.2888
2022-01-12,3.2748
2022-01-13,3.2985
2022-01-14,3.3139
2022-01-17,3.3811
2022-01-18,3.3272
2022-01-19,3.3120
2022-01-20,3.3297
2022-01-21,3.3944
2022-01-24,3.3266
2022-01-25,3.3198
2022-01-26,3.3076
2022-01-27,3.4330
2022-01-28,3.3320
2022-01-31,3.3159
2022-02-01,3.2438
2022-02-02,3.2605
2022-02-03,3.2842
2022-02-04,3.2729
2022-02-07,3.2877
2022-02-08,3.2805
2022-02-09,3.2529
2022-02-10,3.2784
2022-02-11,3.2691
2022-02-14,3.2643
2022-02-15,3.3030
2022-02-16,3.2727
2022-02-17,3.2690
2022-02-18,3.2801
2022-02-21,3.2897
2022-02-22,3.2894
2022-02-23,3.2996
2022-02-24,3.3152
2022-02-25,3.3893
2022-02-28,3.3297
2022-03-01,3.3196
2022-03-02,3.2955
2022-03-03,3.3893
2022-03-04,3.3893
2022-03-07,3.3007
2022-03-08,3.3077
2022-03-09,3.2879
2022-03-10,3.3893
2022-03-11,3.3166
2022-03-14,3.3189
2022-03-15,3.3165
2022-03-16,3.3159
2022-03-17,3.3217
2022-03-18,3.3202
2022-03-21,3.3209
2022-03-22,3.3893
2022-03-23,3.2593
2022-03-24,3.2673
2022-03-25,3.2730
2022-03-28,3.2895
2022-03-29,3.2820
2022-03-30,3.2905
2022-03-31,3.2938
2022-04-01,3.2822
2022-04-04,3.2671
2022-04-05,3.2527
2022-04-06,3.2503
2022-04-07,3.2413
2022-04-08,3.2263
2022-04-11,3.2313
2022-04-12,3.2364
2022-04-13,3.2334
2022-04-14,3.2023
2022-04-15,3.2294
2022-04-18,3.2309
2022-04-19,3.2205
2022-04-20,3.2212
2022-04-21,3.2260
2022-04-22,3.2362
2022-04-25,3.2227
2022-04-26,3.1781
2022-04-27,3.2034
2022-04-28,3.1691
2022-04-29,3.1616
2022-05-01,3.3219
2022-05-02,3.2528
2022-05-03,3.2441
2022-05-04,3.2335
2022-05-05,3.2357
2022-05-06,3.2493
2022-05-09,3.2589
2022-05-10,3.2420
2022-05-11,3.2489
2022-05-12,3.2333
2022-05-13,3.2074
2022-05-16,3.2090
2022-05-17,3.2223
2022-05-18,3.2297
2022-05-19,3.2420
2022-05-20,3.2358
2022-05-23,3.2540
2022-05-24,3.2646
2022-05-25,3.2682
2022-05-26,3.2671
2022-05-27,3.2672
2022-05-30,3.2779
2022-05-31,3.3219
2022-06-01,3.2559
2022-06-02,3.2568
2022-06-03,3.2548
2022-06-06,3.2609
2022-06-07,3.2769
2022-06-08,3.2547
2022-06-09,3.2663
2022-06-10,3.2557
2022-06-13,3.2293
2022-06-14,3.2040
2022-06-15,3.2182
2022-06-16,3.2051
2022-06-17,3.1724
2022-06-20,3.2195
2022-06-21,3.2238
2022-06-22,3.2272
2022-06-23,3.2106
2022-06-24,3.2225
2022-06-27,3.2254
2022-06-28,3.2340
2022-06-29,3.2506
2022-06-30,3.2152
2022-07-01,3.2384
2022-07-04,3.2447
2022-07-05,3.2295
2022-07-06,3.2015
2022-07-07,3.1874
2022-07-08,3.1910
2022-07-11,3.1637
2022-07-12,3.1435
2022-07-13,3.1794
2022-07-14,3.1585
2022-07-15,3.1555
2022-07-18,3.1335
2022-07-19,3.1863
2022-07-20,3.2120
2022-07-21,3.1888
2022-07-22,3.9698
2022-07-25,3.5945
2022-07-26,3.5827
2022-07-27,3.4524
2022-07-28,3.9545
2022-07-29,3.5689
2022-08-01,3.2102
2022-08-02,3.2079
2022-08-03,3.2003
2022-08-04,3.2027
2022-08-05,3.2010
2022-08-08,3.2095
2022-08-09,3.2068
2022-08-10,3.2104
2022-08-11,3.2215
2022-08-12,3.2294
2022-08-15,3.2324
2022-08-16,3.2055
2022-08-17,3.1936
2022-08-18,3.2012
2022-08-19,3.1947
2022-08-22,3.1593
2022-08-23,3.1624
2022-08-24,3.1642
2022-08-25,3.1546
2022-08-26,3.1366
2022-08-29,3.1733
2022-08-30,3.1429
2022-08-31,3.1792
2022-09-01,3.2039
2022-09-02,3.2104
2022-09-05,3.2008
2022-09-06,3.1878
2022-09-07,3.1954
2022-09-08,3.1712
2022-09-09,3.2110
2022-09-12,3.2172
2022-09-13,3.2435
2022-09-14,3.2436
2022-09-15,3.2038
2022-09-16,3.2047
2022-09-19,3.2029
2022-09-20,3.2036
2022-09-21,3.1979
2022-09-22,3.1838
2022-09-23,3.1693
2022-09-26,3.1298
2022-09-27,3.1292
2022-09-28,3.1462
2022-09-29,3.1310
2022-09-30,3.1402
2022-10-01,3.2320
2022-10-03,3.1927
2022-10-04,3.1949
2022-10-05,3.2091
2022-10-06,3.2160
2022-10-07,3.2321
2022-10-10,3.2071
2022-10-11,3.1770
2022-10-12,3.1786
2022-10-13,3.1807
2022-10-14,3.1808
2022-10-17,3.1808
2022-10-18,3.1867
2022-10-19,3.2084
2022-10-20,3.2013
2022-10-21,3.1972
2022-10-24,3.1978
2022-10-25,3.2215
2022-10-26,3.2246
2022-10-27,3.2420
2022-10-28,3.2459
2022-10-31,3.2320
2022-11-01,3.2382
2022-11-02,3.2101
2022-11-03,3.2039
2022-11-04,3.1882
2022-11-07,3.2154
2022-11-08,3.2366
2022-11-09,3.2303
2022-11-10,3.2376
2022-11-11,3.2511
2022-11-14,3.2971
2022-11-15,3.3159
2022-11-16,3.3272
2022-11-17,3.4041
2022-11-18,3.3750
2022-11-21,3.3053
2022-11-22,3.2943
2022-11-23,3.3600
2022-11-24,3.3080
2022-11-25,3.3212
2022-11-28,3.3335
2022-11-29,3.3321
2022-11-30,3.3829
2022-12-01,3.2986
2022-12-02,3.3157
2022-12-05,3.3310
2022-12-06,3.4176
2022-12-07,3.3424
2022-12-08,3.3273
2022-12-09,3.3268
2022-12-12,3.4056
2022-12-13,3.3325
2022-12-14,3.3328
2022-12-15,3.3476
2022-12-16,3.4280
2022-12-19,3.3470
2022-12-20,3.3485
2022-12-21,3.3401
2022-12-22,3.4295
2022-12-23,3.3523
2022-12-26,3.4263
2022-12-27,3.3568
2022-12-28,3.3412
2022-12-29,3.4359
2022-12-30,3.3616
2023-01-01,3.3383
2023-01-02,3.3040
2023-01-03,3.2873
2023-01-04,3.3043
2023-01-05,3.2892
2023-01-06,3.2828
2023-01-09,3.2753
2023-01-10,3.3274
2023-01-11,3.3292
2023-01-12,3.3205
2023-01-13,3.3229
2023-01-16,3.3660
2023-01-17,3.3320
2023-01-18,3.3427
2023-01-19,3.3327
2023-01-20,3.3648
2023-01-23,3.3351
2023-01-24,3.3401
2023-01-25,3.3429
2023-01-26,3.3853
2023-01-27,3.3922
2023-01-30,3.3841
2023-01-31,3.3383
2023-02-01,3.3105
2023-02-02,3.3322
2023-02-03,3.3365
2023-02-06,3.3035
2023-02-07,3.2713
2023-02-08,3.3057
2023-02-09,3.2733
2023-02-10,3.2692
2023-02-13,3.2524
2023-02-14,3.2708
2023-02-15,3.2879
2023-02-16,3.2582
2023-02-17,3.2469
2023-02-20,3.2490
2023-02-21,3.2461
2023-02-22,3.2914
2023-02-23,3.2698
2023-02-24,3.2478
2023-02-27,3.2325
2023-02-28,3.2301
2023-03-01,3.3251
2023-03-02,3.3227
2023-03-03,3.3318
2023-03-06,3.3335
2023-03-07,3.3179
